HABITAT,DATE,SITE,LABEL,DISTANCE,Density,Percent,AM.UTP,GM.UTP
ELEOCHARIS,11-Jun-93,1,30,2,3983.50,0.83,18.85,16.74813422
ELEOCHARIS,11-Jun-93,1,50,2,1608.00,2.12,26.75,21.69423887
ELEOCHARIS,11-Jun-93,1,75,2,156.00,0.33,28.2,25.70369623
ELEOCHARIS,11-Jun-93,1,C150,2,2285.50,2.29,55.25,52.74428879
ELEOCHARIS,11-Jun-93,1,UC,2,510.00,0.86,10.75,8.6
ELEOCHARIS,11-Jun-93,1,WC,2,5456.50,4.42,9.8,9.391485505
ELEOCHARIS,11-Jun-93,2,30,2,7.50,0.54,21.85,19.79545402
ELEOCHARIS,11-Jun-93,2,50,2,7.00,1.01,26.95,23.95370535
ELEOCHARIS,11-Jun-93,2,75,2,28.00,0.42,44.6,40.15968127
ELEOCHARIS,11-Jun-93,2,C150,2,66.50,0.39,67.7,57.70727857
ELEOCHARIS,11-Jun-93,2,UC,2,368.50,4.37,35.95,17.94658742
ELEOCHARIS,11-Jun-93,2,WC,2,433.00,5.83,8.2,7.707139547
ELEOCHARIS,10-Dec-93,1,30,2,188240.00,12.81,8.6,8.6
ELEOCHARIS,10-Dec-93,1,50,2,235523.00,16.73,11.3,11.3
ELEOCHARIS,10-Dec-93,1,75,2,246819.00,5.96,19.6,19.6
ELEOCHARIS,10-Dec-93,1,C150,4,390525.00,1.48,24,28.4
ELEOCHARIS,10-Dec-93,1,UC,2,296481.00,11.18,8.6,4.7
ELEOCHARIS,10-Dec-93,1,WC,2,584672.00,21.40,4.7,8.6
ELEOCHARIS,10-Dec-93,2,30,2,204144.00,10.31,8,8
ELEOCHARIS,10-Dec-93,2,50,2,89466.00,2.58,11.9,11.9
ELEOCHARIS,10-Dec-93,2,C150,2,39853.00,7.39,12.4,12.4
ELEOCHARIS,10-Dec-93,2,UC,2,177989.00,10.72,1.5,3.1
ELEOCHARIS,10-Dec-93,2,WC,2,612636.00,9.31,3.1,1.5
ELEOCHARIS,07-Jun-94,1,30,2,288789.00,2.49,955.4,549.1611057
ELEOCHARIS,07-Jun-94,1,50,2,1066767.00,1.62,99.75,52.28345819
ELEOCHARIS,07-Jun-94,1,75,2,53806.00,0.37,79.25,79.2180535
ELEOCHARIS,07-Jun-94,1,UC,2,11155.00,2.93,28.25,24.33392693
ELEOCHARIS,07-Jun-94,1,WC,2,1473.00,1.76,14.5,14.4222051
ELEOCHARIS,07-Jun-94,2,30,2,5794.00,1.03,45.5,45.12881563
ELEOCHARIS,07-Jun-94,2,50,2,10710.00,0.50,57.55,57.31003403
ELEOCHARIS,07-Jun-94,2,75,2,18306.00,1.05,211,179.2576637
ELEOCHARIS,07-Jun-94,2,C150,2,17355.00,2.79,110.25,110.2270384
ELEOCHARIS,07-Jun-94,2,UC,2,129829.00,8.41,15.25,15.24335921
ELEOCHARIS,07-Jun-94,2,WC,2,337854.00,25.21,17,16.95022124
ELEOCHARIS,20-Jun-95,1,30,2,2020206.90,18.48,na,na
ELEOCHARIS,20-Jun-95,1,75,2,432129.60,6.62,na,na
ELEOCHARIS,20-Jun-95,1,UC,2,543248.90,2.15,na,na
ELEOCHARIS,20-Jun-95,1,WC,2,444476.40,2.20,na,na
ELEOCHARIS,20-Jun-95,2,30,2,134214.40,4.61,na,na
